algorithm_name,env_n,size,best_solution,H,states,time
Random,64,10,"[3, 9, 8, 2, 5, 9, 7, 9, 1, 9]",7,3000,0.0251
Hill Climbing,64,10,"[3, 9, 8, 2, 5, 9, 7, 9, 1, 9]",0,507,0.144
Simulated Annealing,64,10,"[3, 9, 8, 2, 5, 9, 7, 9, 1, 9]",0,1109,0.0131
Genetic Algorithm,64,10,"[5, 7, 2, 6, 3, 9, 0, 8, 4, 1]",0,88842,26.9768
Random,65,10,"[3, 4, 1, 6, 7, 2, 1, 1, 0, 6]",17,3000,0.0252
Hill Climbing,65,10,"[3, 4, 1, 6, 7, 2, 1, 1, 0, 6]",0,1703,0.5468
Simulated Annealing,65,10,"[3, 4, 1, 6, 7, 2, 1, 1, 0, 6]",1,1147,0.0134
Genetic Algorithm,65,10,"[1, 7, 2, 8, 6, 4, 9, 0, 5, 3]",0,383910,116.9689
Random,66,10,"[9, 4, 5, 8, 0, 7, 3, 0, 2, 1]",9,3000,0.0251
Hill Climbing,66,10,"[9, 4, 5, 8, 0, 7, 3, 0, 2, 1]",0,308,0.0796
Simulated Annealing,66,10,"[9, 4, 5, 8, 0, 7, 3, 0, 2, 1]",1,1147,0.0134
Genetic Algorithm,66,10,"[7, 0, 6, 1, 9, 5, 3, 8, 4, 2]",0,4221,1.2171
Random,67,10,"[9, 1, 7, 4, 0, 0, 2, 9, 7, 5]",17,3000,0.0252
Hill Climbing,67,10,"[9, 1, 7, 4, 0, 0, 2, 9, 7, 5]",0,207,0.0445
Simulated Annealing,67,10,"[9, 1, 7, 4, 0, 0, 2, 9, 7, 5]",1,1147,0.0135
Genetic Algorithm,67,10,"[1, 6, 8, 0, 7, 3, 8, 2, 4, 9]",1,603000,183.5485
Random,68,10,"[5, 2, 6, 0, 1, 8, 1, 5, 9, 0]",8,3000,0.0252
Hill Climbing,68,10,"[5, 2, 6, 0, 1, 8, 1, 5, 9, 0]",0,1606,0.5137
Simulated Annealing,68,10,"[5, 2, 6, 0, 1, 8, 1, 5, 9, 0]",1,1147,0.0135
Genetic Algorithm,68,10,"[4, 7, 5, 2, 9, 1, 6, 8, 3, 0]",0,6834,2.0161
Random,69,10,"[3, 5, 6, 2, 3, 0, 1, 2, 3, 8]",10,3000,0.0251
Hill Climbing,69,10,"[3, 5, 6, 2, 3, 0, 1, 2, 3, 8]",0,707,0.2133
Simulated Annealing,69,10,"[3, 5, 6, 2, 3, 0, 1, 2, 3, 8]",1,1147,0.0132
Genetic Algorithm,69,10,"[6, 9, 2, 0, 8, 4, 7, 1, 3, 5]",0,4422,1.2763
Random,70,10,"[7, 9, 5, 4, 2, 2, 0, 5, 8, 7]",12,3000,0.0251
Hill Climbing,70,10,"[7, 9, 5, 4, 2, 2, 0, 5, 8, 7]",0,204,0.0444
Simulated Annealing,70,10,"[7, 9, 5, 4, 2, 2, 0, 5, 8, 7]",1,1147,0.0135
Genetic Algorithm,70,10,"[1, 4, 7, 5, 8, 2, 0, 6, 3, 9]",0,54270,16.4629
Random,71,10,"[9, 0, 6, 7, 9, 0, 3, 7, 7, 4]",7,3000,0.0253
Hill Climbing,71,10,"[9, 0, 6, 7, 9, 0, 3, 7, 7, 4]",0,307,0.0774
Simulated Annealing,71,10,"[9, 0, 6, 7, 9, 0, 3, 7, 7, 4]",1,1147,0.0131
Genetic Algorithm,71,10,"[1, 9, 6, 3, 0, 2, 8, 5, 7, 4]",0,7638,2.2574
Random,72,10,"[7, 8, 7, 7, 8, 9, 3, 2, 8, 7]",13,3000,0.025
Hill Climbing,72,10,"[7, 8, 7, 7, 8, 9, 3, 2, 8, 7]",10,3000,0.995
Simulated Annealing,72,10,"[7, 8, 7, 7, 8, 9, 3, 2, 8, 7]",1,1147,0.0134
Genetic Algorithm,72,10,"[0, 8, 4, 9, 7, 3, 1, 6, 2, 5]",0,6432,1.8869
Random,73,10,"[7, 4, 8, 5, 2, 6, 0, 5, 7, 4]",8,3000,0.0254
Hill Climbing,73,10,"[7, 4, 8, 5, 2, 6, 0, 5, 7, 4]",14,3000,0.9853
Simulated Annealing,73,10,"[7, 4, 8, 5, 2, 6, 0, 5, 7, 4]",1,1147,0.0135
Genetic Algorithm,73,10,"[0, 6, 1, 7, 2, 8, 3, 9, 9, 5]",1,603000,183.8844
Random,74,10,"[4, 4, 2, 3, 2, 3, 2, 2, 1, 8]",12,3000,0.0252
Hill Climbing,74,10,"[4, 4, 2, 3, 2, 3, 2, 2, 1, 8]",0,1508,0.4807
Simulated Annealing,74,10,"[4, 4, 2, 3, 2, 3, 2, 2, 1, 8]",1,1147,0.0134
Genetic Algorithm,74,10,"[6, 2, 5, 7, 0, 3, 8, 4, 1, 9]",0,467124,142.4424
Random,75,10,"[1, 9, 8, 3, 4, 4, 4, 1, 7, 4]",8,3000,0.0252
Hill Climbing,75,10,"[1, 9, 8, 3, 4, 4, 4, 1, 7, 4]",9,3000,0.9816
Simulated Annealing,75,10,"[1, 9, 8, 3, 4, 4, 4, 1, 7, 4]",0,902,0.0111
Genetic Algorithm,75,10,"[4, 6, 9, 5, 2, 0, 7, 3, 1, 8]",0,523002,159.0181
Random,76,10,"[3, 0, 8, 0, 2, 3, 0, 0, 2, 5]",12,3000,0.0253
Hill Climbing,76,10,"[3, 0, 8, 0, 2, 3, 0, 0, 2, 5]",0,2607,0.8507
Simulated Annealing,76,10,"[3, 0, 8, 0, 2, 3, 0, 0, 2, 5]",1,1147,0.0134
Genetic Algorithm,76,10,"[9, 3, 6, 0, 2, 8, 5, 7, 4, 1]",0,5628,1.6455
Random,77,10,"[5, 7, 7, 4, 6, 3, 7, 0, 6, 4]",6,3000,0.0252
Hill Climbing,77,10,"[5, 7, 7, 4, 6, 3, 7, 0, 6, 4]",0,508,0.148
Simulated Annealing,77,10,"[5, 7, 7, 4, 6, 3, 7, 0, 6, 4]",1,1147,0.0133
Genetic Algorithm,77,10,"[4, 8, 0, 3, 1, 7, 9, 6, 2, 5]",0,46632,14.1077
Random,78,10,"[8, 6, 4, 5, 4, 2, 8, 4, 1, 0]",7,3000,0.0255
Hill Climbing,78,10,"[8, 6, 4, 5, 4, 2, 8, 4, 1, 0]",0,505,0.1447
Simulated Annealing,78,10,"[8, 6, 4, 5, 4, 2, 8, 4, 1, 0]",1,1147,0.0133
Genetic Algorithm,78,10,"[4, 6, 8, 2, 5, 1, 9, 7, 0, 3]",0,14271,4.2692
Random,79,10,"[2, 1, 7, 5, 3, 3, 7, 7, 2, 7]",12,3000,0.025
Hill Climbing,79,10,"[2, 1, 7, 5, 3, 3, 7, 7, 2, 7]",5,3000,0.9956
Simulated Annealing,79,10,"[2, 1, 7, 5, 3, 3, 7, 7, 2, 7]",1,1147,0.0132
Genetic Algorithm,79,10,"[2, 4, 8, 0, 5, 9, 6, 1, 3, 7]",0,7638,2.2519
Random,80,10,"[0, 8, 1, 8, 3, 6, 5, 8, 4, 9]",16,3000,0.0252
